# script: ch04_initialisation_ablation.py
# seeds: 42, 7, 123, 2024, 5
# arms: random, sir, whitened, more starts, whitened+sir+starts
# n_restarts: 5
# max_iter: 150
part,seed,config,model,nonlinearity,noise,rho,n,p,d,arm,angle,delta_m,dcor2_u,restart_spread,seconds
grid,42,abs_s0.0_r0.0,,abs,0.0,0.0,200,20,1,random,7.3172,0.127362,0.324646,0.200258,0.088
grid,42,abs_s0.0_r0.0,,abs,0.0,0.0,200,20,1,sir,7.3172,0.127362,0.324646,0.200266,0.082
grid,42,abs_s0.0_r0.0,,abs,0.0,0.0,200,20,1,whitened,7.1602,0.124644,0.324619,0.201333,0.094
grid,42,abs_s0.0_r0.0,,abs,0.0,0.0,200,20,1,more starts,7.3172,0.127362,0.324646,0.2813,0.425
grid,42,abs_s0.0_r0.0,,abs,0.0,0.0,200,20,1,whitened+sir+starts,7.2419,0.126059,0.324642,0.280877,0.444
grid,42,abs_s0.5_r0.0,,abs,0.5,0.0,200,20,1,random,10.6216,0.184321,0.183142,0.077248,0.092
grid,42,abs_s0.5_r0.0,,abs,0.5,0.0,200,20,1,sir,10.4914,0.182088,0.1831,0.077207,0.084
grid,42,abs_s0.5_r0.0,,abs,0.5,0.0,200,20,1,whitened,10.4863,0.182,0.183138,0.08059,0.105
grid,42,abs_s0.5_r0.0,,abs,0.5,0.0,200,20,1,more starts,10.6216,0.184321,0.183142,0.093927,0.475
grid,42,abs_s0.5_r0.0,,abs,0.5,0.0,200,20,1,whitened+sir+starts,10.4863,0.182,0.183138,0.081512,0.43
grid,42,abs_s1.0_r0.0,,abs,1.0,0.0,200,20,1,random,88.372,0.999596,0.098577,0.01135,0.097
grid,42,abs_s1.0_r0.0,,abs,1.0,0.0,200,20,1,sir,88.372,0.999596,0.098577,0.01135,0.096
grid,42,abs_s1.0_r0.0,,abs,1.0,0.0,200,20,1,whitened,88.2978,0.999559,0.098591,0.013008,0.095
grid,42,abs_s1.0_r0.0,,abs,1.0,0.0,200,20,1,more starts,88.2031,0.999508,0.098675,0.023913,0.462
grid,42,abs_s1.0_r0.0,,abs,1.0,0.0,200,20,1,whitened+sir+starts,88.4067,0.999613,0.098668,0.038242,0.444
grid,42,abs_s2.0_r0.0,,abs,2.0,0.0,200,20,1,random,63.2374,0.89288,0.089472,0.057566,0.087
grid,42,abs_s2.0_r0.0,,abs,2.0,0.0,200,20,1,sir,80.2935,0.985684,0.087646,0.040965,0.09
grid,42,abs_s2.0_r0.0,,abs,2.0,0.0,200,20,1,whitened,62.7383,0.888924,0.089926,0.032929,0.104
grid,42,abs_s2.0_r0.0,,abs,2.0,0.0,200,20,1,more starts,62.6091,0.887889,0.089943,0.058037,0.498
grid,42,abs_s2.0_r0.0,,abs,2.0,0.0,200,20,1,whitened+sir+starts,62.7511,0.889026,0.089945,0.044162,0.489
grid,42,abs_s0.0_r0.5,,abs,0.0,0.5,200,20,1,random,10.4257,0.18096,0.324617,0.201683,0.081
grid,42,abs_s0.0_r0.5,,abs,0.0,0.5,200,20,1,sir,10.4257,0.18096,0.324617,0.201683,0.078
grid,42,abs_s0.0_r0.5,,abs,0.0,0.5,200,20,1,whitened,10.2216,0.177455,0.324602,0.200241,0.086
grid,42,abs_s0.0_r0.5,,abs,0.0,0.5,200,20,1,more starts,10.6952,0.185585,0.324634,0.279448,0.457
grid,42,abs_s0.0_r0.5,,abs,0.0,0.5,200,20,1,whitened+sir+starts,10.5473,0.183048,0.324631,0.280409,0.4
grid,42,abs_s0.5_r0.5,,abs,0.5,0.5,200,20,1,random,14.4051,0.248776,0.183144,0.080491,0.099
grid,42,abs_s0.5_r0.5,,abs,0.5,0.5,200,20,1,sir,14.4942,0.250282,0.183151,0.080497,0.092
grid,42,abs_s0.5_r0.5,,abs,0.5,0.5,200,20,1,whitened,14.4235,0.249087,0.183155,0.081933,0.088
grid,42,abs_s0.5_r0.5,,abs,0.5,0.5,200,20,1,more starts,14.4051,0.248776,0.183144,0.149227,0.418
grid,42,abs_s0.5_r0.5,,abs,0.5,0.5,200,20,1,whitened+sir+starts,14.4235,0.249087,0.183155,0.082972,0.407
grid,42,abs_s1.0_r0.5,,abs,1.0,0.5,200,20,1,random,87.5965,0.99912,0.098677,0.009497,0.089
grid,42,abs_s1.0_r0.5,,abs,1.0,0.5,200,20,1,sir,88.0012,0.999392,0.098535,0.024029,0.076
grid,42,abs_s1.0_r0.5,,abs,1.0,0.5,200,20,1,whitened,87.7553,0.999233,0.098685,0.018749,0.089
grid,42,abs_s1.0_r0.5,,abs,1.0,0.5,200,20,1,more starts,87.6023,0.999125,0.098688,0.014587,0.465
grid,42,abs_s1.0_r0.5,,abs,1.0,0.5,200,20,1,whitened+sir+starts,87.7553,0.999233,0.098685,0.051472,0.439
grid,42,abs_s2.0_r0.5,,abs,2.0,0.5,200,20,1,random,78.7011,0.980619,0.087703,0.03563,0.098
grid,42,abs_s2.0_r0.5,,abs,2.0,0.5,200,20,1,sir,78.7011,0.980619,0.087703,0.029781,0.098
grid,42,abs_s2.0_r0.5,,abs,2.0,0.5,200,20,1,whitened,77.0437,0.974541,0.08728,0.030384,0.084
