# script: ch06_full_grid.py
# seeds: 0
maturity,d,cp,anchor,method,DM,p,mspe_anchor,mspe_method
2,1,True,INPCA(k3)+lin(G&S),"DvarSDR(seq,robust)+poly",-1.060111303772983,0.28909396585823854,2.7747607040770994,5.870917480223448
2,1,True,INPCA(k3)+lin(G&S),INPCA(k2)+linear,1.4632591229269838,0.14339648839689456,2.7747607040770994,2.65375258773766
2,1,True,INPCA(k3)+lin(G&S),INPCA(k2)+poly,1.135269921941275,0.2562622406122399,2.7747607040770994,2.6663807427850754
2,1,True,INPCA(k3)+lin(G&S),INPCA(k3)+linear,,,2.7747607040770994,2.7747607040770994
2,1,True,INPCA(k3)+lin(G&S),INPCA(k3)+poly,1.1670908982244623,0.24317366312603772,2.7747607040770994,2.766731711419391
2,1,True,INPCA(k3)+lin(G&S),INPCA(k4)+linear,0.917333004016919,0.35896816781978647,2.7747607040770994,2.5955164478221424
2,1,True,INPCA(k3)+lin(G&S),INPCA(k4)+poly,0.9014061391208241,0.36737241848138824,2.7747607040770994,2.596271024153658
2,1,True,INPCA(k3)+lin(G&S),PCA+linear,0.7325442620528735,0.4638364371785353,2.7747607040770994,2.5807868650462407
2,1,True,INPCA(k3)+lin(G&S),PCA+poly,1.0686395760366874,0.2852321082849696,2.7747607040770994,2.3364872842024775
2,1,True,INPCA(k3)+lin(G&S),PLS+linear,0.3253505442104418,0.7449157810486171,2.7747607040770994,2.614712118947061
2,1,True,INPCA(k3)+lin(G&S),PLS+poly,0.17895489798078937,0.8579731161177051,2.7747607040770994,2.6927265286986715
2,1,True,INPCA(k3)+lin(G&S),SAVE+linear,0.5927643366315541,0.5533388781045876,2.7747607040770994,2.7318657272028655
2,1,True,INPCA(k3)+lin(G&S),SAVE+poly,1.6068801279651317,0.10808066643308578,2.7747607040770994,2.551071167568858
2,1,True,INPCA(k3)+lin(G&S),SIR+linear,0.328779157317418,0.7423226181188156,2.7747607040770994,2.6262281037398827
2,1,True,INPCA(k3)+lin(G&S),SIR+poly,-0.1178216911878335,0.9062089421743853,2.7747607040770994,2.8214622896669805
2,2,False,PCA+poly(LN-winner),DcorSDR(joint0.0)+linear,-0.8194871187769814,0.41250854824167815,3.6158848744850665,3.828981696825083
2,2,False,PCA+poly(LN-winner),DcorSDR(joint0.0)+poly,-0.821108421217609,0.41158451367875437,3.6158848744850665,3.8296641484854046
2,2,False,PCA+poly(LN-winner),DcorSDR(joint0.5)+linear,-0.7887262614384921,0.4302720154620938,3.6158848744850665,3.8102189976485
2,2,False,PCA+poly(LN-winner),DcorSDR(joint0.5)+poly,-0.8887536915471842,0.3741354684981728,3.6158848744850665,3.85213387072733
2,2,False,PCA+poly(LN-winner),DcorSDR(seqX)+linear,-0.6343887044556636,0.525827179382075,3.6158848744850665,3.751523073574512
2,2,False,PCA+poly(LN-winner),DcorSDR(seqX)+poly,-0.3350439228127739,0.7375919534540178,3.6158848744850665,3.6843850221623358
2,2,False,PCA+poly(LN-winner),DcorSDR(seqY)+linear,-0.8802661923731001,0.378715122596752,3.6158848744850665,3.810827912971931
2,2,False,PCA+poly(LN-winner),DcorSDR(seqY)+poly,-0.59274389233449,0.5533525621953339,3.6158848744850665,3.740376714667181
2,2,False,PCA+poly(LN-winner),"DvarSDR(joi,plain)+linear",-2.2977805666745934,0.02157428136179096,3.6158848744850665,4.79845017179738
2,2,False,PCA+poly(LN-winner),"DvarSDR(joi,plain)+poly",-2.1838674776749234,0.028971987430892465,3.6158848744850665,4.56772389192816
2,2,False,PCA+poly(LN-winner),"DvarSDR(joi,robust)+linear",-1.302039201484652,0.19290298505405468,3.6158848744850665,4.176819258001312
2,2,False,PCA+poly(LN-winner),"DvarSDR(joi,robust)+poly",-1.295657539016323,0.19509349617918748,3.6158848744850665,4.188481905932595
2,2,False,PCA+poly(LN-winner),"DvarSDR(seq,plain)+linear",-1.520460952854897,0.12839516527170658,3.6158848744850665,4.349319262249624
2,2,False,PCA+poly(LN-winner),"DvarSDR(seq,plain)+poly",-1.3983812546061805,0.161998609232211,3.6158848744850665,4.370560707152247
2,2,False,PCA+poly(LN-winner),"DvarSDR(seq,robust)+linear",-1.8161897326989016,0.06934127252556088,3.6158848744850665,4.726446138825255
2,2,False,PCA+poly(LN-winner),"DvarSDR(seq,robust)+poly",-1.2001066886583251,0.23009790819641895,3.6158848744850665,9.324674109127155
2,2,False,PCA+poly(LN-winner),INPCA(k2)+linear,-0.3684462209933674,0.7125405382960754,3.6158848744850665,3.6769930147038554
2,2,False,PCA+poly(LN-winner),INPCA(k2)+poly,-0.5150259139287426,0.606534911709872,3.6158848744850665,3.6985335465182017
2,2,False,PCA+poly(LN-winner),INPCA(k3)+linear,-1.2454932838715005,0.2129504827306754,3.6158848744850665,4.062622311977188
2,2,False,PCA+poly(LN-winner),INPCA(k3)+poly,-1.2454854307768073,0.21295336764285833,3.6158848744850665,4.062654281278779
2,2,False,PCA+poly(LN-winner),INPCA(k4)+linear,-0.02120393810494562,0.9830829728362895,3.6158848744850665,3.621001795490223
2,2,False,PCA+poly(LN-winner),INPCA(k4)+poly,-0.06367354938800794,0.949230166526887,3.6158848744850665,3.631688615507135
2,2,False,PCA+poly(LN-winner),PCA+linear,-1.8721078450929254,0.061191684869624785,3.6158848744850665,4.033327549991068
2,2,False,PCA+poly(LN-winner),PCA+poly,,,3.6158848744850665,3.6158848744850665
2,2,False,PCA+poly(LN-winner),PLS+linear,-0.9769857422704814,0.3285762109923467,3.6158848744850665,3.973752719282403
2,2,False,PCA+poly(LN-winner),PLS+poly,-1.126502462554572,0.25995289883202033,3.6158848744850665,4.053295928118174
2,2,False,PCA+poly(LN-winner),SAVE+linear,-1.540269451379595,0.12349468690869925,3.6158848744850665,4.415895940061163
2,2,False,PCA+poly(LN-winner),SAVE+poly,-1.4018811327469398,0.1609507454394441,3.6158848744850665,4.154612044793177
