# script: ch06_best_d_dm_tests.py
# seeds: 0
seed,maturity,focus,other,d_focus,d_other,r2_focus,r2_other,mspe_focus,mspe_other,DM,p
0,4,dVar(seq)+lin,PCA+poly,7,8,0.22618246666428643,0.2877295084384769,25.422945421874452,23.40088335104226,-1.6646504377569649,0.09598251638221944
0,5,dVar(seq)+lin,PCA+poly,7,8,0.22763440087978126,0.273816063749164,38.06084997484918,35.78509695832073,-1.3771609211270173,0.16846250096214432
0,2,dVar(seq)+lin,INPCA-hybrid+linear,6,8,0.19758029373607522,0.21462938379326035,3.623822735441514,3.546827019003443,-0.5000190205097863,0.6170616845916732
0,3,dVar(seq)+lin,INPCA-hybrid+linear,7,8,0.21343320109468344,0.2269964703606756,12.566925278301632,12.350225829974514,-0.39986451176286647,0.6892563120274358
0,4,dVar(seq)+lin,INPCA-hybrid+linear,7,8,0.22618246666428643,0.2239283006343925,25.422945421874452,25.497003630019208,0.06334021571603972,0.949495592528071
0,5,dVar(seq)+lin,INPCA-hybrid+linear,7,8,0.22763440087978126,0.21352811126914117,38.06084997484918,38.75598369543941,0.37482925838068115,0.7077874530009982
0,2,dVar(seq)+lin,DcorSDR(seqX)+linear,6,2,0.19758029373607522,0.24239834144276529,3.623822735441514,3.4214191068045743,-1.326758070936506,0.18458872448305308
0,3,dVar(seq)+lin,DcorSDR(seqX)+linear,7,2,0.21343320109468344,0.2525557622867737,12.566925278301632,11.9418667277996,-1.4527276098480937,0.14629939795404212
0,4,dVar(seq)+lin,DcorSDR(seqX)+linear,7,3,0.22618246666428643,0.260050860103335,25.422945421874452,24.31023566688115,-1.378447004142299,0.16806531948982917
0,5,dVar(seq)+lin,DcorSDR(seqX)+linear,7,2,0.22763440087978126,0.26775502297779674,38.06084997484918,36.08377463603349,-1.2016153745217037,0.2295125819708086
0,2,dVar(seq)+lin,SIR+linear,6,3,0.19758029373607522,0.19495196537477066,3.623822735441514,3.6356925786140453,0.3507077230069279,0.7258076310159443
0,3,dVar(seq)+lin,SIR+linear,7,7,0.21343320109468344,0.22069398477127156,12.566925278301632,12.450920221830161,-0.9732202008122964,0.3304438729904873
0,4,dVar(seq)+lin,SIR+linear,7,2,0.22618246666428643,0.22939297462634933,25.422945421874452,25.31746762487472,-0.37665675069566934,0.7064287075214277
0,5,dVar(seq)+lin,SIR+linear,7,2,0.22763440087978126,0.2410071945972626,38.06084997484918,37.401861671893386,-0.9601915467413564,0.3369588204902403
0,2,dVar(seq)+lin,PLS+linear,6,4,0.19758029373607522,0.18905408024622028,3.623822735441514,3.662328128629854,2.347209077876651,0.01891463768530177
0,3,dVar(seq)+lin,PLS+linear,7,4,0.21343320109468344,0.2100194197406925,12.566925278301632,12.621467035278624,1.2045650710277371,0.228371247628959
0,4,dVar(seq)+lin,PLS+linear,7,2,0.22618246666428643,0.22012770754582267,25.422945421874452,25.621868041200162,1.2995708061336135,0.1937481109090986
0,5,dVar(seq)+lin,PLS+linear,7,2,0.22763440087978126,0.22122365096555285,38.06084997484918,38.376760718400746,1.3460320650293862,0.17829217580447687
0,2,dVar(seq)+lin,SAVE+linear,6,8,0.19758029373607522,0.18363859244366054,3.623822735441514,3.686785115003974,2.3513465705926726,0.018705602208662242
0,3,dVar(seq)+lin,SAVE+linear,7,7,0.21343320109468344,0.22387709999015992,12.566925278301632,12.400063802307157,-0.5022888462556095,0.6154643538994091
0,4,dVar(seq)+lin,SAVE+linear,7,8,0.22618246666428643,0.20959570490759794,25.422945421874452,25.967885696163872,2.030629325894742,0.04229261053919231
0,5,dVar(seq)+lin,SAVE+linear,7,4,0.22763440087978126,0.22413354413046538,38.06084997484918,38.233366181773626,0.048032808384490464,0.9616900954645105
