# script: ch05_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_starts: 20
# max_iter: 300
# n_rand: 20
# index_fun: plain
seed,n,p,sigma,dist,angle_deg,MSS_dVar,MSS_PCA,MSS_FastICA,MSS_random,dvar_obj,dvar_random_mean,restart_spread,beats_PCA,beats_FastICA,beats_random
7,200,50,0.5,gaussian_mix,85.10761961818648,0.9927265675369153,0.999971594854772,0.999971594854772,0.9895034957612456,1.0512855115363493,0.6317804192397645,0.09220686497597796,True,True,False
7,200,5,1.0,gaussian_mix,13.161597438564637,0.051846505121029174,0.06049158416916067,0.06049158416916023,0.824550511544872,0.9226388909299109,0.6718511744622777,0.004033919335714065,True,True,True
7,200,20,1.0,gaussian_mix,26.39292674146951,0.19760211885127466,0.14841814549787735,0.14841814549787646,0.9409490088924052,0.9725484333900508,0.6546727574601864,0.10305263010321275,False,False,True
7,200,50,1.0,gaussian_mix,74.26828819466927,0.9264867712019849,0.7624305083696261,0.7624305083696283,0.9895034957612456,1.0545222016797606,0.6359595277898027,0.03002180231299456,False,False,True
7,200,5,2.0,gaussian_mix,4.749307211408633,0.006855203712039071,0.011016745919979587,0.011016745919980031,0.824550511544872,1.5448098794863052,0.819452367475221,0.0005254393848763694,True,True,True
7,200,20,2.0,gaussian_mix,10.7408373454706,0.034732629481741384,0.027418734106510634,0.0274187341065093,0.9409490088924052,1.5909083224894338,0.7267732913235391,0.0005080000669115403,False,False,True
7,200,50,2.0,gaussian_mix,19.33071036158723,0.10957438579654355,0.11344124003326861,0.11344124003326927,0.9895034957612456,1.5644671799246215,0.652929183548289,0.0012432695371129565,True,True,True
7,200,5,4.0,gaussian_mix,2.3307856652506223,0.0016539403189120838,0.002163150473929565,0.002163150473930342,0.824550511544872,3.0251630603655517,1.236371806741226,0.0003764529986711729,True,True,True
7,200,20,4.0,gaussian_mix,5.380137025716069,0.008791532408994107,0.0059749202853099925,0.005974920285309326,0.9409490088924052,3.0885808829551746,0.9452157642402345,0.003314789604181634,False,False,True
7,200,50,4.0,gaussian_mix,8.523624033893359,0.021968334456894056,0.02346350910411521,0.023463509104116764,0.9895034957612456,3.0297220392118005,0.7159843619069661,0.0010713283511600835,True,True,True
7,200,5,0.5,t3,25.967457413455236,0.19172189041303478,0.21786689961607497,0.21786689961607453,0.8045588310578081,0.7333519235808102,0.6496270414997141,0.017646860051560576,True,True,True
7,200,20,0.5,t3,62.62341674875359,0.788550028365009,0.7083973941015609,0.7083973941015611,0.956055104384007,0.9042023370667859,0.6627481177411906,0.0670211901406933,False,False,True
7,200,50,0.5,t3,88.80874328447858,0.9995677819704081,0.9994827316057969,0.9994827316057968,0.9843196228907469,1.0685567743690096,0.6301470733385703,0.054475404707964525,False,False,False
7,200,5,1.0,t3,13.347977258862635,0.05329844441952036,0.02100562547885887,0.021005625478858425,0.8045588310578081,0.8605191743809024,0.6823599047240839,0.0004740298809173815,False,False,True
7,200,20,1.0,t3,39.94858795373683,0.41229237412095143,0.18052172785227139,0.18052172785227294,0.956055104384007,0.9587027434190325,0.6742072290289369,0.0012338826618546461,False,False,True
7,200,50,1.0,t3,45.61342044601892,0.5107053883835191,0.40887378987032486,0.40887378987032996,0.9843196228907469,1.1076105701780457,0.632899992040711,0.041989810947122175,False,False,True
7,200,5,2.0,t3,5.999461896821498,0.010924247080930982,0.003004714872730796,0.0030047148727294637,0.8045588310578081,1.258294633093506,0.788164710402172,0.00030565513788682885,False,False,True
7,200,20,2.0,t3,17.761772971812125,0.09306159636254607,0.030790470013766003,0.03079047001376689,0.956055104384007,1.290038874386869,0.7085718947856917,0.0006557832500788674,False,False,True
7,200,50,2.0,t3,24.107299980273787,0.16682875581542278,0.08264937618993906,0.08264937618993784,0.9843196228907469,1.4498359976784696,0.6458729639857281,0.0014881351235833673,False,False,True
7,200,5,4.0,t3,2.9588271520159433,0.0026644515636452537,0.0007521685579673365,0.0007521685579686688,0.8045588310578081,2.244099649902844,1.0834042465874107,0.0007295664704090044,False,False,True
7,200,20,4.0,t3,7.442163389988176,0.016776809171074714,0.005927286992566394,0.005927286992566838,0.956055104384007,2.2557716487048642,0.8057482828624453,0.0033810380583121358,False,False,True
7,200,50,4.0,t3,11.033102446508776,0.03662480987066663,0.020425232686966943,0.02042523268696672,0.9843196228907469,2.387850648609084,0.6954523903952355,0.00033403089928008,False,False,True
7,200,5,0.5,uniform,34.45085613784918,0.32001553660793836,0.3201603628641825,0.32016036286418026,0.7892517002155592,0.784950523000758,0.6231906551118609,0.10647967060407915,True,True,True
7,200,20,0.5,uniform,82.28605333056717,0.9819830045736366,0.7631898349276545,0.7631898349276544,0.9574134109812482,0.8966003525899118,0.6543145190863905,0.05944691115315348,False,False,False
7,200,50,0.5,uniform,80.64823483003545,0.9735952605200833,0.9817376547709299,0.9817376547709298,0.9769478490362685,1.0550805903021157,0.6377261906672946,0.05009987360118329,True,True,True
7,200,5,1.0,uniform,20.457108635455416,0.12215451014988132,0.055155652028315516,0.05515565202831474,0.7892517002155592,0.9676929895956112,0.677552596369795,0.000781614389097629,False,False,True
7,200,20,1.0,uniform,25.452385267560313,0.18469440478875432,0.14284809992992598,0.14284809992992586,0.9574134109812482,0.97748207255294,0.676390792587449,0.0014472914226738576,False,False,True
7,200,50,1.0,uniform,72.62044110029296,0.9107781103752008,0.6231108750938592,0.6231108750938625,0.9769478490362685,1.0786349616623732,0.6398344978384032,0.05100088016845872,False,False,True
7,200,5,2.0,uniform,7.997802958558588,0.019358583962567844,0.010162220976173142,0.010162220976173364,0.7892517002155592,1.5548330810924278,0.8584766474897607,0.00044761446508068126,False,False,True
7,200,20,2.0,uniform,11.027475762182858,0.036587925692984524,0.037305905914981285,0.03730590591498106,0.9574134109812482,1.5661911700314322,0.7503117318413468,0.0005280117882671131,True,True,True
7,200,50,2.0,uniform,19.13562528399747,0.10745637017824639,0.08872040718075758,0.08872040718075636,0.9769478490362685,1.564495888864946,0.6502222248448934,0.0004128724841856446,False,False,True
7,200,5,4.0,uniform,3.3716634356985176,0.0034589302135938915,0.0020964384278294723,0.002096438427828806,0.7892517002155592,2.942250535393096,1.3596366089940208,0.005931592013189491,False,False,True
7,200,20,4.0,uniform,6.085095923926851,0.011237148091567617,0.010131595701276086,0.010131595701275864,0.9574134109812482,2.947488099963247,0.9804138224284061,0.0034415216160974538,False,False,True
7,200,50,4.0,uniform,9.72919656726278,0.028558177338566026,0.019840805864347444,0.019840805864347444,0.9769478490362685,2.9146232523679187,0.6920256507574054,0.00038701454304579386,False,False,True
7,200,5,0.5,skewed,36.81022594499181,0.35900049548208723,0.1673902843603986,0.1673902843603986,0.8291894460638108,0.7184026561663825,0.6180582554169016,0.00028768045192073544,False,False,True
7,200,20,0.5,skewed,60.28813841751226,0.7543424920909598,0.7495937274822102,0.7495937274822104,0.9492480204158189,0.9161811700826878,0.6376352485982113,0.06843139102829643,False,False,True
7,200,50,0.5,skewed,83.90429628254056,0.9887237876841772,0.9914407144715367,0.9914407144715366,0.9846663194734268,1.051685208439672,0.6242048864222748,0.08277725782588119,True,True,False
7,200,5,1.0,skewed,18.48858711808155,0.10056239970873548,0.046469090262375556,0.04646909026237511,0.8291894460638108,0.8728210596419925,0.6424172207002201,0.00026395041699889266,False,False,True
7,200,20,1.0,skewed,43.315776366831955,0.47062168257721915,0.29120681190923814,0.29120681190923847,0.9492480204158189,0.978824791285346,0.647733697781488,0.00225631240752755,False,False,True
7,200,50,1.0,skewed,78.47212959667506,0.9600621454906949,0.6546573853520445,0.6546573853520454,0.9846663194734268,1.055435233503215,0.6287389638847032,0.051343050666480705,False,False,True
7,200,5,2.0,skewed,8.094181443690701,0.019824834691123172,0.012393298959258892,0.012393298959258225,0.8291894460638108,1.3214427226697003,0.7195194335389001,0.00035285316287581026,False,False,True
7,200,20,2.0,skewed,19.493199503342343,0.11135233551762524,0.04229291934184831,0.04229291934184731,0.9492480204158189,1.3148276146225353,0.6802584418193459,0.00044015832829269463,False,False,True
7,200,50,2.0,skewed,25.348604729697715,0.18329071945805941,0.05934748859369776,0.05934748859369854,0.9846663194734268,1.3106444057845112,0.6461816341744482,0.0006858918517651524,False,False,True
7,200,5,4.0,skewed,3.9229770527119974,0.0046806644593150315,0.0032137003348198245,0.0032137003348198245,0.8291894460638108,2.3715250126177527,0.9326510050837781,0.0001609922101208916,False,False,True
7,200,20,4.0,skewed,6.589709173587991,0.013169566144706324,0.007005289185477714,0.007005289185477048,0.9492480204158189,2.3407100897098996,0.7746897686830593,0.0010821568848458085,False,False,True
7,200,50,4.0,skewed,10.141823907663348,0.03100604416892505,0.012462949548748936,0.012462949548749158,0.9846663194734268,2.2844967926629036,0.7050794412714525,0.0006366681222722548,False,False,True
7,200,5,0.5,chisq,30.479921841862627,0.2572887564817915,0.17664212453426187,0.1766421245342601,0.8078123003919121,0.7591359823543242,0.6445529143775173,0.09034724392249671,False,False,True
7,200,20,0.5,chisq,87.04135740196395,0.9973358805156867,0.9044894457055692,0.9044894457055679,0.9637101799944915,0.8676491566785823,0.6409609510129075,0.046379640435287195,False,False,False
7,200,50,0.5,chisq,84.9870264619711,0.9923645066928225,0.9996139347421216,0.9996139347421216,0.9860731978249971,1.061367771962991,0.6365427692824459,0.06312130298269336,True,True,False
7,200,5,1.0,chisq,23.633879147022917,0.16071344175019064,0.040028484398831554,0.040028484398831554,0.8078123003919121,0.8931617482117576,0.6703727598302731,0.0006105968042108278,False,False,True
7,200,20,1.0,chisq,36.508430263626025,0.35395486068604765,0.17257445407639593,0.17257445407639538,0.9637101799944915,0.942097737805382,0.6543402976592522,0.06852995714661081,False,False,True
7,200,50,1.0,chisq,85.6668622362823,0.9942913740776592,0.99892837994562,0.9989283799456201,0.9860731978249971,1.0594032001868128,0.6400926387132646,0.07718222563457444,True,True,False
7,200,5,2.0,chisq,8.715704333965656,0.022961872215463974,0.007687086323793224,0.007687086323793002,0.8078123003919121,1.3061025258632477,0.7543424622679913,0.003009904240654837,False,False,True
7,200,20,2.0,chisq,13.736051029046383,0.05638222076312016,0.031172956631600246,0.031172956631600468,0.9637101799944915,1.3335904140755752,0.7024455612384347,0.004723586435113836,False,False,True
7,200,50,2.0,chisq,28.077333708739054,0.22152354071550895,0.08014087945063797,0.08014087945063864,0.9860731978249971,1.2586327284398766,0.6563652244120449,0.0028134870445502003,False,False,True
7,200,5,4.0,chisq,2.406176015657305,0.001762601739514147,0.0015561021514965967,0.0015561021514959306,0.8078123003919121,2.3838447593742047,1.0016797319306958,0.00044965120848372564,False,False,True
7,200,20,4.0,chisq,6.913233192370926,0.014488004197090065,0.00577827001170228,0.005778270011702724,0.9637101799944915,2.408401432798414,0.8545681651905067,0.0009399116486967785,False,False,True
7,200,50,4.0,chisq,10.239810221968025,0.03160165230942824,0.01276569084303425,0.012765690843034916,0.9860731978249971,2.3011366338708,0.7152157160469621,0.0010572098593359947,False,False,True
7,200,5,0.5,gaussian,45.22971288222885,0.5040092031660502,0.32200561485638446,0.32200561485638446,0.8614641609809883,0.7020573918549298,0.6127760892040754,0.003947297260399885,False,False,True
7,200,20,0.5,gaussian,70.37838575102771,0.8872337074784663,0.8348877748504104,0.8348877748504112,0.9747814531385182,0.8819597173711862,0.6260470898525532,0.05641917996229884,False,False,True
7,200,50,0.5,gaussian,87.79905834501794,0.9985251149684661,0.9716633502665598,0.9716633502665595,0.9854197877324721,1.0513395165666934,0.6204769513387003,0.049964963927774164,False,False,False
7,200,5,1.0,gaussian,18.76254317710068,0.10345663776545166,0.049726209526794074,0.049726209526795295,0.8614641609809883,0.8877674033454812,0.6412189116366519,0.0004478299219980997,False,False,True
7,200,20,1.0,gaussian,43.51495087882255,0.47409260987978785,0.3133276399163075,0.3133276399163073,0.9747814531385182,0.9548743881191774,0.6388629403595925,0.05783287517880409,False,False,True
7,200,50,1.0,gaussian,65.91878149061095,0.8335105296620152,0.6446807792643117,0.6446807792643121,0.9854197877324721,1.075456535526625,0.6250898834486226,0.10894808317378435,False,False,True
7,200,5,2.0,gaussian,8.182321822230993,0.020255989747747227,0.011033907868243653,0.011033907868243209,0.8614641609809883,1.4123968985507158,0.7379018380624367,0.0010481760658784811,False,False,True
7,200,20,2.0,gaussian,16.823894155726425,0.08377030628872639,0.046979383974028455,0.0469793839740289,0.9747814531385182,1.3901718072679683,0.6891849826053494,0.0021739971395065005,False,False,True
7,200,50,2.0,gaussian,23.379881656892934,0.15747056773502044,0.1031966892880154,0.10319668928801373,0.9854197877324721,1.4299337197874566,0.6427545626151459,0.0006643260164940212,False,False,True
7,200,5,4.0,gaussian,3.718025924031361,0.004205037566742065,0.0027277496445982097,0.0027277496445977656,0.8614641609809883,2.6104901764378416,1.0089365659619989,2.454682786146023e-05,False,False,True
7,200,20,4.0,gaussian,6.536295439400326,0.01295785942601202,0.010134548925421205,0.010134548925421427,0.9747814531385182,2.5522455088601754,0.8511892806555927,0.003466278647510812,False,False,True
7,200,50,4.0,gaussian,10.296950015842077,0.031951505454928086,0.02153029750054236,0.02153029750054214,0.9854197877324721,2.557303429378097,0.704490081754869,0.0012099703181687183,False,False,True
7,500,20,2.0,gaussian_mix,6.897660784894354,0.014423123057137222,0.010121989182484414,0.010121989182484414,0.9530009044586853,1.616434324672466,0.7002317349242195,0.00024538488371605993,False,False,True
