# script: ch04_shengyin_on_our_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_perturb: 500
# n_restarts: 3
# max_iter: 100
part,seed,config,nonlinearity,noise,n,p,k,method,angle,dcor2_u,dcov_v,seconds
single,7,cubic_p20_s0.0,cubic,0.0,200,20,1,Sheng-Yin (dcsol),3.9469,0.79272,0.668451,0.305
single,7,cubic_p2_s0.5,cubic,0.5,200,2,1,dCor-PP (this thesis),1.6721,0.705099,0.662841,0.048
single,7,cubic_p2_s0.5,cubic,0.5,200,2,1,Sheng-Yin (dcsol),0.7807,0.704846,0.663541,0.104
single,7,cubic_p5_s0.5,cubic,0.5,200,5,1,dCor-PP (this thesis),3.4809,0.619304,0.674845,0.047
single,7,cubic_p5_s0.5,cubic,0.5,200,5,1,Sheng-Yin (dcsol),4.3151,0.618935,0.675591,0.111
single,7,cubic_p20_s0.5,cubic,0.5,200,20,1,dCor-PP (this thesis),9.9875,0.66308,0.627557,0.049
single,7,cubic_p20_s0.5,cubic,0.5,200,20,1,Sheng-Yin (dcsol),9.3735,0.654045,0.629454,0.298
single,7,cubic_p2_s1.0,cubic,1.0,200,2,1,dCor-PP (this thesis),2.4911,0.565757,0.636882,0.046
single,7,cubic_p2_s1.0,cubic,1.0,200,2,1,Sheng-Yin (dcsol),1.709,0.565602,0.637457,0.105
single,7,cubic_p5_s1.0,cubic,1.0,200,5,1,dCor-PP (this thesis),7.0555,0.481526,0.645323,0.039
single,7,cubic_p5_s1.0,cubic,1.0,200,5,1,Sheng-Yin (dcsol),7.3609,0.481395,0.645466,0.131
single,7,cubic_p20_s1.0,cubic,1.0,200,20,1,dCor-PP (this thesis),17.6846,0.494968,0.590811,0.05
single,7,cubic_p20_s1.0,cubic,1.0,200,20,1,Sheng-Yin (dcsol),17.0167,0.487475,0.595776,0.296
single,7,cubic_p2_s2.0,cubic,2.0,200,2,1,dCor-PP (this thesis),4.1646,0.343377,0.585628,0.04
single,7,cubic_p2_s2.0,cubic,2.0,200,2,1,Sheng-Yin (dcsol),3.3866,0.343292,0.58613,0.102
single,7,cubic_p5_s2.0,cubic,2.0,200,5,1,dCor-PP (this thesis),14.4165,0.294339,0.603853,0.035
single,7,cubic_p5_s2.0,cubic,2.0,200,5,1,Sheng-Yin (dcsol),15.3321,0.294267,0.604328,0.111
single,7,cubic_p20_s2.0,cubic,2.0,200,20,1,dCor-PP (this thesis),31.5221,0.307988,0.563559,0.051
single,7,cubic_p20_s2.0,cubic,2.0,200,20,1,Sheng-Yin (dcsol),29.4295,0.302782,0.5703,0.3
single,7,tanh_p2_s0.0,tanh,0.0,200,2,1,dCor-PP (this thesis),0.1995,0.926546,0.567074,0.047
single,7,tanh_p2_s0.0,tanh,0.0,200,2,1,Sheng-Yin (dcsol),1.0063,0.926223,0.567641,0.104
single,7,tanh_p5_s0.0,tanh,0.0,200,5,1,dCor-PP (this thesis),1.5158,0.933368,0.590154,0.045
single,7,tanh_p5_s0.0,tanh,0.0,200,5,1,Sheng-Yin (dcsol),1.0329,0.932809,0.590696,0.116
single,7,tanh_p20_s0.0,tanh,0.0,200,20,1,dCor-PP (this thesis),4.3001,0.953252,0.622897,0.053
single,7,tanh_p20_s0.0,tanh,0.0,200,20,1,Sheng-Yin (dcsol),7.8027,0.94322,0.625988,0.263
single,7,tanh_p2_s0.5,tanh,0.5,200,2,1,dCor-PP (this thesis),0.2127,0.662798,0.487412,0.044
single,7,tanh_p2_s0.5,tanh,0.5,200,2,1,Sheng-Yin (dcsol),0.8248,0.662513,0.488039,0.108
