# script: ch04_joint_and_penalty.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 5
# joint_restarts: 20
# max_iter: 150
# lambdas: 0.0, 0.1, 0.5, 1.0, 2.0
seed,config,n,p,k,nonlinearity,noise,strategy,lam,mean_angle,inter_dcor,obj,restart_spread,time
123,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.5,10.905233595641828,0.0,0.27470566433301913,0.14227951628086252,6.359159231185913
123,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,1.0,9.538318343130467,0.0,0.27578762925587147,0.14189519442379456,11.38391900062561
123,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,2.0,9.395787457247284,0.0,0.2750669686931496,0.1746986783674819,12.845737218856812
123,k2_p5_product_noisy,200,5,2,product,0.5,sequential,0.0,6.157151808698367,0.024185532198218024,nan,nan,0.30265355110168457
123,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.0,6.040789989422952,0.0004699313100009731,0.20623521267830064,0.12634180414344584,2.1378118991851807
123,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.1,6.535282219307197,0.0007966744537729334,0.20493070449897471,0.14503240825309455,5.086611986160278
123,k2_p5_product_noisy,200,5,2,product,0.5,joint,0.5,6.305912140974351,4.0022909630936096e-05,0.20632253772360973,0.12634138833673753,5.158490419387817
123,k2_p5_product_noisy,200,5,2,product,0.5,joint,1.0,6.232807483613952,0.0,0.20646912159689057,0.1309359692929314,5.754285097122192
123,k2_p5_product_noisy,200,5,2,product,0.5,joint,2.0,6.296855802041369,0.0,0.20643052033483622,0.1411983721163234,6.243205785751343
2024,k2_p5_product,200,5,2,product,0.0,sequential,0.0,4.922326322208963,0.038685950768541144,nan,nan,0.3698866367340088
2024,k2_p5_product,200,5,2,product,0.0,joint,0.0,5.049151095847268,0.0,0.3241697010103681,0.21403939928753288,2.2401680946350098
2024,k2_p5_product,200,5,2,product,0.0,joint,0.1,4.9590626024262665,0.0,0.3241827564811698,0.21148616449581364,5.804064035415649
2024,k2_p5_product,200,5,2,product,0.0,joint,0.5,4.946125549111855,0.0,0.3241720940790028,0.2220622304512456,5.402768611907959
2024,k2_p5_product,200,5,2,product,0.0,joint,1.0,4.630857789755545,0.0,0.32411388583072137,0.20999947360733956,6.0614173412323
2024,k2_p5_product,200,5,2,product,0.0,joint,2.0,4.732878510100026,0.0,0.31773694061885777,0.2233980774348241,6.010067462921143
2024,k2_p5_sumSq,200,5,2,sum_squares,0.0,sequential,0.0,4.897711531799494,0.00012393935812422997,nan,nan,0.2596442699432373
2024,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.0,4.399062562409392,0.0,0.25095319673689737,0.23198406546011324,1.772589921951294
2024,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.1,4.209004954316883,0.0,0.2509625317603735,0.2319439571403364,4.553952693939209
2024,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,0.5,4.69927106031422,0.0,0.25063182158910907,0.11908356613365872,4.828463077545166
2024,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,1.0,4.558081123384931,0.0,0.2506068551575766,0.12412595282748484,4.919137239456177
2024,k2_p5_sumSq,200,5,2,sum_squares,0.0,joint,2.0,4.50266879413876,0.0,0.25047188043099017,0.13744216583329316,5.319690465927124
2024,k2_p10_sumSq,300,10,2,sum_squares,0.0,sequential,0.0,8.552592094680229,0.29350880018879444,nan,nan,0.7592465877532959
2024,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.0,8.756646210322732,0.0041787231387851375,0.278110531201164,0.08362473088243413,4.577827215194702
2024,k2_p10_sumSq,300,10,2,sum_squares,0.0,joint,0.1,8.712119449650768,0.0038870766014159758,0.2776894851281477,0.08325694276325227,11.551122188568115
