# script: ch04_fair_comparison.py
# seeds: 42, 7, 123, 2024, 5
# arms: sy-full, sy-seed, sy-rand1, sy-rand5, sy-rand500, pp-rand1, pp-default, pp-probe500, adam-dcor2, sqp-dcor2
# replicates: 20 at (100, 6), 8 at (500, 20)
# n_perturb: 500
# n_probes: 500
# n_restarts: 5
# max_iter: 150
# sqp_max_iter: 1000
# sqp_tol: 0.0001
part,seed,model,nonlinearity,noise,n,p,d,arm,seconds,nfev,delta_m,dcor2_u_sum,dcor2_u_mean,dcov_v,angle
grid,42,,cubic,0.0,200,20,1,sy-rand5,1.216,1240,0.07689,0.795204,0.795204,0.733842,4.4098
grid,42,,cubic,0.0,200,20,1,sy-rand500,0.315,1019,0.076892,0.795216,0.795216,0.733846,4.41
grid,42,,cubic,0.0,200,20,1,pp-rand1,0.018,-1,0.121144,0.802547,0.802547,0.730082,6.9581
grid,42,,cubic,0.0,200,20,1,pp-default,0.097,-1,0.120979,0.802703,0.802703,0.730385,6.9486
grid,42,,cubic,0.0,200,20,1,pp-probe500,0.148,-1,0.120117,0.802709,0.802709,0.730315,6.8989
grid,42,,cubic,0.0,200,20,1,adam-dcor2,0.136,-1,0.119501,0.802714,0.802714,0.730366,6.8633
grid,42,,cubic,0.0,200,20,1,sqp-dcor2,0.263,1989,0.119535,0.802715,0.802715,0.73037,6.8653
grid,42,,cubic,0.5,200,20,1,sy-full,0.268,779,0.087405,0.729311,0.729311,0.708383,5.0143
grid,42,,cubic,0.5,200,20,1,sy-seed,0.165,779,0.087405,0.729311,0.729311,0.708383,5.0143
grid,42,,cubic,0.5,200,20,1,sy-rand1,0.284,1330,0.087419,0.729311,0.729311,0.708418,5.0151
grid,42,,cubic,0.5,200,20,1,sy-rand5,1.179,1134,0.087436,0.729307,0.729307,0.708415,5.0161
grid,42,,cubic,0.5,200,20,1,sy-rand500,0.393,1375,0.087419,0.729308,0.729308,0.708419,5.0151
grid,42,,cubic,0.5,200,20,1,pp-rand1,0.022,-1,0.130075,0.735836,0.735836,0.705491,7.4739
grid,42,,cubic,0.5,200,20,1,pp-default,0.098,-1,0.129191,0.735836,0.735836,0.705489,7.4228
grid,42,,cubic,0.5,200,20,1,pp-probe500,0.144,-1,0.128253,0.735838,0.735838,0.705547,7.3687
grid,42,,cubic,0.5,200,20,1,adam-dcor2,0.124,-1,0.128401,0.735844,0.735844,0.705608,7.3772
