# script: ch06_full_grid.py
# seeds: 0
block,maturity,method,d,spec,cp,mspe,r2,bench,dcor_tr,dcor_te
PCA_ours,2,"DvarSDR(seq,plain)",8,linear,True,2.7892223886512233,0.38238507421539436,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",8,poly,False,4.0411038552085765,0.10518212252360482,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,plain)",8,poly,True,2.866726637916149,0.3652233802061562,4.516118818061029,0.35778118568698264,0.2316761824845613
PCA_ours,2,"DvarSDR(seq,robust)",1,linear,False,4.777831290362249,-0.05795074993478244,4.516118818061029,0.1684818023706168,0.11387950779588676
PCA_ours,2,"DvarSDR(seq,robust)",1,linear,True,2.9456136324403484,0.34775550619701556,4.516118818061029,0.1684818023706168,0.11387950779588676
PCA_ours,2,"DvarSDR(seq,robust)",1,poly,False,10.771500276903131,-1.3851233129264333,4.516118818061029,0.1684818023706168,0.11387950779588676
PCA_ours,2,"DvarSDR(seq,robust)",1,poly,True,5.870917480223448,-0.2999918108319599,4.516118818061029,0.1684818023706168,0.11387950779588676
PCA_ours,2,"DvarSDR(seq,robust)",2,linear,False,4.726446138825255,-0.04657258350313498,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",2,linear,True,2.953441330744406,0.34602222622378886,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",2,poly,False,9.324674109127155,-1.0647539369060826,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",2,poly,True,5.6279376275685955,-0.24618900748606065,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",3,linear,False,4.278721996413423,0.052566557969688565,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",3,linear,True,2.864268466112841,0.36576769090796446,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",3,poly,False,14.363766917308483,-2.1805555823430454,4.516118818061029,0.16848180237061353,0.11387950779588467
PCA_ours,2,"DvarSDR(seq,robust)",3,poly,True,7.309816850092856,-0.618605963346041,4.516118818061029,0.16848180237061353,0.11387950779588467
