# script: ch06_outlier_recovery.py
# seeds: 42, 7, 123
# K: 3
# budget: {'plain': {'n_starts': 20, 'max_iter': 300}, 'robust': {'n_starts': 8, 'max_iter': 80}}
method,basis,strategy,seed,direction,criterion,z_sep2001,z_oct2001,rank_sep2001,rank_oct2001,worse_rank,pair_isolated,sep_margin,dvar,dvar_biloop,top5_months,detail
dVar-PP,unit,sequential,123,2,0.6492396931754615,-2.4482698194145835,-2.5952086605504774,6,2,6,False,0.8570512645396262,0.6492375350216786,3.4552117351214835,1975-04 2001-10 1982-07 2002-01 1982-08,+0.503 +0.639 -0.002 +0.322 +0.131 +0.086 -0.057 -0.455
dVar-PP,unit,sequential,123,3,0.6080179044822324,0.5430844448178256,1.4801930987182925,279,71,279,False,0.13854228120608086,0.6080066299034794,3.305811440165262,1982-10 1987-11 1982-04 1982-09 1981-06,+0.360 +0.002 +0.182 +0.352 -0.433 +0.187 -0.355 +0.605
dVar-PP,unit,joint,123,1,0.667385565988528,0.3115113347788201,0.9554694295726751,361,150,361,False,0.1066576692150828,0.667385565988528,3.402771147964071,1966-10 1981-01 1966-05 1966-08 1966-09,+0.052 +0.009 -0.297 +0.265 -0.162 -0.629 +0.636 -0.108
dVar-PP,unit,joint,123,2,0.6477702439372923,2.220395801914855,2.499574655077486,12,2,12,False,0.7805285095611033,0.6477702439372923,3.4292081066958304,1975-04 2001-10 2002-01 1980-05 1991-05,-0.480 -0.675 -0.035 -0.348 -0.097 -0.126 +0.096 +0.397
dVar-PP,unit,joint,123,3,0.6285048432598292,-1.6928597467086999,-1.5478681750000955,42,48,48,False,0.46902792254894804,0.6285048432598292,3.2512577981810744,1974-12 1982-10 1982-09 1970-05 1987-11,+0.018 -0.291 -0.139 -0.270 +0.681 -0.015 +0.109 -0.588
dVar-PP (biloop),unit,sequential,123,1,3.4884206133895157,-3.8244686063323177,1.495860997691803,1,79,79,False,0.4113480924812673,0.6404725304391342,3.4884206133895157,2001-09 1966-11 1981-01 1970-05 2001-03,-0.020 -0.262 +0.124 -0.070 +0.160 +0.359 -0.576 -0.652
dVar-PP (biloop),unit,sequential,123,2,3.365677219517745,9.388174955283661,-14.8733285015281,2,1,2,True,1.462039567466772,0.48575484282166875,3.2580788044053928,2001-10 2001-09 1973-08 2001-11 1998-08,-0.014 -0.271 +0.138 +0.180 +0.242 +0.735 +0.442 +0.285
dVar-PP (biloop),unit,sequential,123,3,3.3628212415487253,-1.6435613101960134,-1.784535884854192,50,37,50,False,0.4497632535122655,0.6169048888961925,3.2285971941153826,1987-11 1987-10 1990-08 2002-07 1981-09,+0.001 +0.294 -0.116 +0.290 +0.015 -0.158 +0.350 -0.817
dVar-PP (biloop),unit,joint,123,1,3.421389135504084,4.184591926203038,-2.425579042264385,1,4,4,False,0.723352399604204,0.6419742054343643,3.421389135504084,2001-09 1966-11 1966-10 2001-10 1967-01,+0.035 +0.233 -0.174 +0.072 -0.230 -0.312 +0.622 +0.610
dVar-PP (biloop),unit,joint,123,2,3.3653001986937623,1.6270162508881034,-6.901883703811632,54,1,54,False,0.2790494326006592,0.5882630184721698,3.3653001986937623,2001-10 1980-05 1981-11 1982-10 1982-05,+0.618 +0.452 +0.139 +0.236 -0.322 +0.479 +0.004 -0.078
dVar-PP (biloop),unit,joint,123,3,3.3095900095236037,2.1807256339380494,1.3063892290630534,28,98,98,False,0.2525960780465046,0.5900889969883587,3.3095900095236037,1981-06 1981-01 1973-10 1981-07 1974-05,-0.208 -0.497 +0.144 -0.032 -0.783 +0.211 -0.090 +0.151
PCA,scaled,-,42,1,23.116725381981603,1.7863249217813832,1.9569174664961912,55,45,55,False,0.29148153910254,2.7313280520667433,3.166607563998934,1980-05 1974-12 1980-04 1974-11 1975-02,+1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,scaled,-,42,2,9.400195252574871,-0.24207687570767578,-2.2911293555819707,386,41,386,False,0.03964712480456157,1.756063151391775,3.0600261503546844,1980-03 1974-07 1973-08 1980-12 1981-05,+0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000 +0.000
PCA,scaled,-,42,3,7.272958111514728,-4.28646483574973,7.076354013436696,6,3,6,False,0.4998726625248841,1.3962136722592944,3.1158370964178217,1973-08 1973-09 2001-10 2003-04 1986-05,+0.000 +0.000 +1.000 +0.000 +0.000 +0.000 +0.000 +0.000
MCD-PCA,scaled,-,42,1,11.676498588535452,-2.043619313242692,-1.7875493240399698,42,56,56,False,0.3055497050777623,2.720187102640802,3.187349706577372,1974-12 1980-05 1975-02 1975-01 1974-11,-0.980 +0.116 +0.097 +0.057 +0.108 -0.023 -0.006 -0.028
MCD-PCA,scaled,-,42,2,5.20051472910209,-1.9449219599234122,-1.2328655379111229,21,119,119,False,0.3617841053485591,1.5528383390698735,3.4179059415442983,1966-10 1966-11 1966-12 1966-09 1967-01,+0.088 +0.237 +0.266 -0.282 +0.539 +0.582 +0.337 -0.209
