# script: ch04_single_direction_grid.py
# seeds: 42, 7, 123, 2024, 5
# n_restarts: 3
# max_iter: 100
seed,nonlinearity,noise,n,p,angle_dcor,angle_ols,angle_sir,angle_save,dcor_found,dcor_ols,dcor_sir,dcor_save,spread
123,sine,0.0,200,20,86.7234,88.6609,86.6563,69.5767,0.141741,0.119724,0.10428,0.012448,0.000416
2024,sine,0.0,200,20,76.7428,72.5452,78.655,82.4746,0.094923,0.058201,0.031888,0.000838,0.035231
5,sine,0.0,200,20,79.9909,89.3605,82.9109,85.3441,0.097278,0.07488,0.017207,0.008289,0.048919
42,sine,0.5,200,2,0.9939,42.4097,61.5207,76.9979,0.022692,0.00276,0.0,0.0,0.021304
7,sine,0.5,200,2,1.0859,12.5303,30.0887,77.801,0.023007,0.006463,0.002912,0.0,0.01913
123,sine,0.5,200,2,1.4764,80.1609,7.4767,35.3609,0.010032,0.0,0.0,0.0,0.010032
2024,sine,0.5,200,2,0.0819,23.678,67.547,73.7581,0.012352,0.0,0.006517,0.0,0.012352
5,sine,0.5,200,2,0.3113,19.4887,61.0475,3.4985,0.009079,0.0,0.0,0.007174,0.009079
42,sine,0.5,200,5,70.5579,83.4973,73.707,86.6198,0.046569,0.040878,0.039973,0.0,0.000213
7,sine,0.5,200,5,81.9322,86.1325,87.3632,88.9586,0.010857,0.009607,0.0,0.0,0.005284
123,sine,0.5,200,5,69.6936,64.5095,60.3679,63.3848,0.040684,0.03446,0.029428,0.0,0.035185
2024,sine,0.5,200,5,65.1718,78.0436,80.4401,73.6051,0.058809,0.055149,0.046443,0.009496,0.000121
5,sine,0.5,200,5,38.1819,60.9043,35.4962,54.1104,0.020232,0.00741,0.013694,0.0,0.000439
42,sine,0.5,200,20,66.0539,75.21,56.4052,80.9109,0.114721,0.083864,0.033356,0.003333,0.001017
7,sine,0.5,200,20,75.1681,81.203,80.1753,68.3487,0.155832,0.120908,0.059654,0.0,0.03319
123,sine,0.5,200,20,79.352,80.4258,86.8037,74.3899,0.115638,0.0865,0.009271,0.0,0.001569
2024,sine,0.5,200,20,84.0973,83.181,88.3439,72.253,0.079102,0.052577,0.016171,0.00518,0.028448
5,sine,0.5,200,20,85.0913,88.7162,72.8194,85.1002,0.142189,0.122109,0.030654,0.0,0.00347
42,sine,0.5,500,5,1.4123,39.5106,48.0202,27.9353,0.019051,0.007014,0.000159,0.006248,0.008491
7,sine,0.5,500,5,88.0283,80.7721,75.1877,54.8371,0.002861,0.002405,0.0,0.001683,0.002139
123,sine,0.5,500,5,51.0228,58.973,61.7833,58.9085,0.005502,0.002069,0.0,0.002261,0.004432
2024,sine,0.5,500,5,33.4204,31.2167,71.7857,63.3633,0.012788,0.011627,0.007142,0.005712,8.7e-05
5,sine,0.5,500,5,65.2058,77.2063,81.2681,60.8037,0.01356,0.011278,0.007109,0.000941,0.000114
42,sine,0.5,1000,5,70.676,68.8202,76.0316,71.1986,0.001349,0.0,0.0,0.0,0.001349
7,sine,0.5,1000,5,87.3231,41.1138,40.6011,75.5459,0.002297,4.9e-05,0.0002,0.0,0.001545
123,sine,0.5,1000,5,65.2663,71.6016,71.2033,51.773,0.007195,0.006894,0.00679,0.003872,5.5e-05
2024,sine,0.5,1000,5,57.315,79.3116,61.3041,64.5547,0.003364,0.001677,0.000856,0.0,0.001994
5,sine,0.5,1000,5,85.0552,87.7403,55.7289,86.3813,0.003473,0.000392,0.000405,0.002036,0.00102
42,sine,1.0,200,2,0.9911,48.2386,33.6468,83.0869,0.011217,0.0,0.000602,0.0,0.009734
7,sine,1.0,200,2,54.6084,23.7824,18.1338,0.6091,0.008665,0.001833,0.00181,0.011548,8e-06
123,sine,1.0,200,2,0.9153,3.3578,55.9507,73.5885,0.000188,0.0,0.0,0.0,0.000188
2024,sine,1.0,200,2,75.655,9.5703,71.1582,72.8199,0.006113,0.000524,0.0,0.000163,0.005466
5,sine,1.0,200,2,1.0829,87.8655,47.4528,1.4555,0.002501,0.0,0.0,0.00249,0.002501
42,sine,1.0,200,5,69.8806,82.0903,72.4277,80.1658,0.042949,0.036678,0.036784,0.019095,0.001112
7,sine,1.0,200,5,81.0247,80.8275,86.9797,58.8828,0.010456,0.008128,0.000212,0.0,0.003932
123,sine,1.0,200,5,74.1436,78.8311,52.3539,63.3975,0.021378,0.02062,0.011201,0.017871,0.018303
2024,sine,1.0,200,5,86.4044,88.648,70.6241,84.0963,0.073433,0.065617,0.064448,0.003125,0.000302
5,sine,1.0,200,5,38.7158,58.5132,35.744,78.9056,0.026777,0.008709,0.014528,0.0,0.000475
42,sine,1.0,200,20,69.0568,84.6301,73.9636,88.6815,0.079752,0.032841,0.030892,0.006789,0.010032
7,sine,1.0,200,20,70.5832,79.185,66.6722,75.38,0.181607,0.157398,0.15051,0.008838,0.026753
123,sine,1.0,200,20,65.5735,73.9149,83.752,86.1495,0.087142,0.058193,0.014391,0.0,0.020305
2024,sine,1.0,200,20,85.0998,89.4262,79.2659,87.9469,0.099839,0.074973,0.05621,0.005664,0.012929
5,sine,1.0,200,20,85.2528,88.5439,84.4572,89.9468,0.146818,0.124345,0.058127,0.0,0.003056
42,sine,2.0,200,2,0.4653,54.6549,7.578,74.7001,0.00549,0.0,0.00505,0.0,3e-06
7,sine,2.0,200,2,56.1108,33.8595,31.256,49.3813,0.006934,0.0,0.0,0.005423,5e-06
123,sine,2.0,200,2,81.5273,39.6319,86.5251,54.1612,0.002959,0.0,0.002125,0.000717,0.002367
2024,sine,2.0,200,2,9.6897,0.5706,66.06,47.5513,0.003254,0.002303,0.0,0.001865,0.00134
5,sine,2.0,200,2,1.7622,28.2716,84.421,6.2417,0.002624,0.0,0.0,0.000214,0.002624
42,sine,2.0,200,5,71.2098,80.8553,69.327,78.9076,0.034547,0.027976,0.001476,0.023011,0.000119
7,sine,2.0,200,5,84.9004,78.7645,72.8314,60.8083,0.016443,0.013341,0.004073,0.0,0.009242
123,sine,2.0,200,5,42.9771,85.2835,34.0561,49.8311,0.016582,0.011049,0.00621,0.0,0.012609
2024,sine,2.0,200,5,83.1638,83.0677,88.3562,48.7438,0.069982,0.061982,0.053022,0.028427,0.000181
5,sine,2.0,200,5,38.1272,60.1042,49.9673,89.8728,0.02902,0.012434,0.017333,0.004835,0.02902
42,sine,2.0,200,20,78.35,84.4065,79.6564,71.1992,0.066253,0.026846,0.01104,0.003092,0.022343
7,sine,2.0,200,20,66.4453,78.1383,69.4353,89.1504,0.178597,0.160631,0.155762,0.021404,0.000172
123,sine,2.0,200,20,60.7819,69.8276,85.9996,78.8351,0.084758,0.053016,0.034905,0.001282,0.023316
2024,sine,2.0,200,20,87.5596,86.0261,76.5219,80.8668,0.120274,0.101544,0.073063,0.003765,0.011377
5,sine,2.0,200,20,83.4814,88.4697,85.9177,88.5731,0.130761,0.114005,0.093476,0.0,0.001216
42,square,0.0,200,2,1.4038,60.0311,82.9951,4.1928,0.292588,0.020675,0.013033,0.290606,1e-06
7,square,0.0,200,2,0.2589,11.0202,23.1795,4.0941,0.348624,0.308216,0.217566,0.343643,0.0
123,square,0.0,200,2,0.2717,4.4608,1.9564,0.3951,0.303577,0.296545,0.301938,0.303572,0.0
2024,square,0.0,200,2,0.1201,7.3362,34.0752,2.6524,0.301935,0.288149,0.128909,0.30027,1e-05
5,square,0.0,200,2,1.4497,46.2106,80.3247,2.0891,0.283515,0.048389,0.010462,0.283358,0.0
42,square,0.0,200,5,1.4803,81.1995,87.3878,3.2817,0.29734,0.01956,0.027107,0.295024,0.254509
7,square,0.0,200,5,2.6117,31.0316,36.6201,3.144,0.330486,0.179356,0.145234,0.320271,2.2e-05
123,square,0.0,200,5,2.3111,69.2656,65.5886,5.8619,0.297834,0.002734,0.0,0.293716,0.286522
2024,square,0.0,200,5,5.9141,76.8434,77.7191,11.7324,0.286565,0.014542,0.022528,0.273375,0.258231
5,square,0.0,200,5,2.9124,13.597,60.8815,3.8483,0.29043,0.242575,0.011349,0.284537,0.281378
42,square,0.0,200,20,8.9983,83.1579,88.1572,17.9239,0.309429,0.062446,0.025649,0.262572,0.193789
7,square,0.0,200,20,6.7618,66.6869,86.0771,19.2999,0.286384,0.023458,0.041059,0.2322,0.185591
123,square,0.0,200,20,6.6639,81.9941,83.7195,19.0625,0.272703,0.05845,0.001138,0.233445,4.5e-05
2024,square,0.0,200,20,15.766,48.1948,60.8375,20.0956,0.310032,0.121046,0.099988,0.261632,0.163812
5,square,0.0,200,20,11.1339,48.3468,76.0111,19.2362,0.332653,0.123051,0.020777,0.287029,0.196065
42,square,0.5,200,2,0.706,64.6889,81.1963,0.8867,0.243788,0.004494,0.01216,0.243779,1e-06
7,square,0.5,200,2,1.9301,14.6089,34.4989,2.3615,0.277719,0.242299,0.118493,0.273116,0.0
123,square,0.5,200,2,2.2943,54.6762,38.0216,0.1875,0.240231,0.015761,0.083597,0.238923,0.0
2024,square,0.5,200,2,0.4494,5.8272,1.6876,1.1599,0.255989,0.250768,0.255722,0.255912,1e-06
5,square,0.5,200,2,1.0588,68.6834,73.8654,0.6524,0.220215,0.0,0.002847,0.21964,1e-06
42,square,0.5,200,5,2.0385,82.9262,87.993,4.4872,0.239728,0.0,0.003507,0.234625,2.2e-05
7,square,0.5,200,5,7.0257,35.3924,54.7777,5.7233,0.261105,0.145692,0.076729,0.247261,8e-06
