# script: ch05_multigroup.py
# seeds: 42, 7, 123, 2024, 5
# n: 400
# k: 2
# n_starts: 20
# max_iter: 300
# index_fun: plain
seed,n_groups,p,sigma,strategy,MSS_dVar,MSS_PCA,MSS_FastICA,pair_dir1,pair_dir2,sep_cos_dir1,sep_cos_dir2,distinct_pairs,restart_spread,elapsed
5,3,10,2.0,joint,0.0035903986449149494,0.005330284951022335,0.005330284951021058,0-1,1-2,0.9872629957851649,0.9267911918694535,True,0.0009435346985826598,2.1410744190216064
5,3,10,4.0,sequential,0.001295319972275999,0.0012121117162514072,0.0012121117162516293,1-2,0-1,0.9155120999207108,0.9930823790700599,True,0.03928111642662868,2.2420194149017334
5,3,10,4.0,joint,0.0011377277045207523,0.0012121117162514072,0.0012121117162516293,1-2,0-1,0.9752225308652271,0.9536942807308803,True,0.00041384130980759437,2.264111042022705
5,3,50,1.0,sequential,0.3451124028106339,0.24095318866911297,0.2409531886691147,1-2,0-2,0.7315174237556082,0.800527355150687,True,0.04954593761448156,1.6608035564422607
5,3,50,1.0,joint,0.3446652152727795,0.24095318866911297,0.2409531886691147,0-2,1-2,0.7973123243389074,0.7362310304940833,True,0.0011188996509403637,2.027771234512329
5,3,50,2.0,sequential,0.05132047315181665,0.03776564004828936,0.03776564004829036,0-1,1-2,0.971050276927942,0.8819693394293754,True,0.0012350009492214653,1.9019532203674316
5,3,50,2.0,joint,0.05122839090231951,0.03776564004828936,0.03776564004829036,1-2,0-1,0.8998600796976027,0.9660329180330256,True,0.0007620708626197015,1.7584428787231445
5,3,50,4.0,sequential,0.01069195123011546,0.007081264774231599,0.007081264774231821,0-1,1-2,0.9625366523991734,0.9580726681071744,True,0.029734235539763176,1.7398254871368408
5,3,50,4.0,joint,0.010773680841245026,0.007081264774231599,0.007081264774231821,0-1,1-2,0.9682264543912501,0.9514110179750497,True,0.0014211423947418922,2.130197286605835
5,5,10,1.0,sequential,0.012367406985887064,0.019131294405998367,0.0191312944059987,0-4,0-1,0.9947851277567122,0.9460489420572123,True,0.062386835965593135,1.701183557510376
5,5,10,1.0,joint,0.02166622196647283,0.019131294405998367,0.0191312944059987,0-4,0-1,0.9503926878552742,0.9906482028246912,True,0.00020490989846533303,1.8002903461456299
5,5,10,2.0,sequential,0.002409915786551975,0.0036409156725892844,0.0036409156725893954,0-4,0-1,0.9972822992506762,0.963232672978932,True,0.00046968430788307813,1.9426815509796143
5,5,10,2.0,joint,0.003369101260758234,0.0036409156725892844,0.0036409156725893954,2-4,1-3,0.9901432778591248,0.9816903759695594,True,0.0002656205219366825,2.602080821990967
5,5,10,4.0,sequential,0.001051134743726423,0.0009114852548474661,0.0009114852548463559,0-4,2-4,0.9956087779125103,0.974498337705642,True,0.001701895378024787,2.0255181789398193
