# script: ch03_sir_initialisation.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
# n_restarts: 3
seed,p,nonlinearity,noise,start,angle,dcor2,spread
7,5,sine,2.0,sir,85.4921763479314,0.01887800335461666,0.01173367318822553
7,5,abs,0.0,sir1,36.62012892757171,0.1290668359354943,
7,5,abs,0.0,random,2.072303580773069,0.350314364524801,5.106275605737398e-06
7,5,abs,0.0,sir,2.084054471290625,0.3503156366763563,6.378427161002342e-06
7,5,abs,0.5,sir1,49.599300111391685,0.07833552284749222,
7,5,abs,0.5,random,8.23715134352002,0.1976280557445228,8.205543067238419e-05
7,5,abs,0.5,sir,8.131564888220069,0.19761655658286786,7.05562690174466e-05
7,5,abs,1.0,sir1,49.29020786065016,0.05845521234833776,
7,5,abs,1.0,random,15.891464996062345,0.09484814376482377,2.8670319537252298e-05
7,5,abs,1.0,sir,15.65994031967125,0.09484208575495869,2.2612309672168096e-05
7,5,abs,2.0,sir1,55.63465366365902,0.032328030511431696,
7,5,abs,2.0,random,31.074139230213756,0.041944548062448905,1.866414460350435e-05
7,5,abs,2.0,sir,31.182116003992604,0.04193938662031183,1.3502702466430816e-05
7,5,cubic,0.0,sir1,1.601310359494278,0.7293496201404484,
7,5,cubic,0.0,random,2.2524742040500447,0.7304596119096566,4.408127797028705e-05
7,5,cubic,0.0,sir,2.303406252263847,0.7304768589428695,2.4685691280557087e-05
7,5,cubic,0.5,sir1,9.167618904922193,0.6122513835239519,
7,5,cubic,0.5,random,3.4715644226046143,0.6193042613377873,8.984464662076252e-05
7,5,cubic,0.5,sir,3.494127560303828,0.6193011291696028,8.671247843627938e-05
7,5,cubic,1.0,sir1,11.727488297967067,0.477285300088263,
7,5,cubic,1.0,random,6.889893557054946,0.48151146660909716,1.6501692011117175e-05
7,5,cubic,1.0,sir,7.323032312393012,0.4815216809154554,1.3646223042396155e-05
7,5,cubic,2.0,sir1,14.618417511737738,0.29349777771648805,
7,5,cubic,2.0,random,15.518694351621448,0.294362050070715,3.652092840111809e-05
7,5,cubic,2.0,sir,15.385321957171742,0.2943668347369966,4.130559468273898e-05
7,5,tanh,0.0,sir1,1.601310359494278,0.9289709287812499,
7,5,tanh,0.0,random,1.5729755320282997,0.9333735386763055,3.341546849333632e-06
7,5,tanh,0.0,sir,1.5729755320282997,0.9333735386763055,1.6292937689565967e-05
7,5,tanh,0.5,sir1,7.514225040573238,0.6548606743984126,
7,5,tanh,0.5,random,10.227785501299804,0.656838081063545,1.671949138026818e-06
7,5,tanh,0.5,sir,10.227785501299804,0.656838081063545,2.105880080871536e-06
7,5,tanh,1.0,sir1,21.247844195160063,0.3262979118245861,
7,5,tanh,1.0,random,19.702029212917374,0.33443609062917845,0.0007516419902318106
7,5,tanh,1.0,sir,19.69516774335347,0.3344405687437576,1.2541642607499792e-05
7,5,tanh,2.0,sir1,19.423368219864916,0.09962269472190446,
7,5,tanh,2.0,random,33.02085095751164,0.12693149667200004,0.00026545442225461846
7,5,tanh,2.0,sir,33.02085095751164,0.12693149667200004,0.00026545442225461846
7,20,square,0.0,sir1,86.0771088299384,0.04105869397888,
7,20,square,0.0,random,6.931115950860019,0.2863098641577624,0.18562316954177976
7,20,square,0.0,sir,6.931115950860019,0.2863098641577624,0.186411314749337
7,20,square,0.5,sir1,84.4413252746533,0.014518626168835053,
7,20,square,0.5,random,11.712909499056451,0.22931414229509253,0.00013459298862025793
7,20,square,0.5,sir,11.579453692799188,0.22933146523738643,0.00015191593091415379
7,20,square,1.0,sir1,82.40825441239622,0.021440542753420812,
7,20,square,1.0,random,20.542097777123047,0.161829838606199,0.10659717632705407
7,20,square,1.0,sir,20.542097777123047,0.161829838606199,0.00018133633579683894
7,20,square,2.0,sir1,81.53031595975777,0.090707104380659,
7,20,square,2.0,random,65.0420844000331,0.13357259873428903,3.638772251415845e-05
7,20,square,2.0,sir,65.10009405990012,0.13357012549564307,4.85619258632497e-05
7,20,sine,0.0,sir1,76.8073650516994,0.0010026578389698048,
7,20,sine,0.0,random,74.74251595039473,0.10470822712467116,0.024226765745312115
7,20,sine,0.0,sir,74.74251595039473,0.10470822712467116,0.024226765745312115
7,20,sine,0.5,sir1,80.17525445349445,0.05965353017229756,
7,20,sine,0.5,random,75.18464487088632,0.15585154844784702,3.479106634390883e-05
7,20,sine,0.5,sir,75.18464487088632,0.15585154844784702,3.479106634390883e-05
7,20,sine,1.0,sir1,66.67217639923595,0.15050963590031555,
7,20,sine,1.0,random,70.80257002348677,0.18163634860825525,0.00036490853324328
7,20,sine,1.0,sir,70.56628361741747,0.18162980876103643,0.00035836868602445726
7,20,sine,2.0,sir1,69.43533676759455,0.15576158517040423,
7,20,sine,2.0,random,66.13506063747352,0.17871530491784157,6.015558932759291e-06
7,20,sine,2.0,sir,66.13506063747352,0.17871530491784157,4.9664360418949505e-05
7,20,abs,0.0,sir1,86.0771088299384,0.02575929183089443,
7,20,abs,0.0,random,6.125106334044735,0.30565583816996467,0.2121316800071889
7,20,abs,0.0,sir,6.125106334044735,0.30565583816996467,0.21245734411910328
7,20,abs,0.5,sir1,73.24880829457865,0.004786084522903147,
7,20,abs,0.5,random,13.245082199341613,0.18795178652092426,7.139051740678859e-05
7,20,abs,0.5,sir,13.136900909782828,0.18796944222511205,1.814959362855806e-05
7,20,abs,1.0,sir1,75.95621326146512,0.0607952353508792,
7,20,abs,1.0,random,64.22343543529043,0.12609426664344242,0.001188565345831269
7,20,abs,1.0,sir,63.955917987067046,0.126052721979553,0.0011470206819418488
7,20,abs,2.0,sir1,77.7390550654776,0.09986563697943372,
7,20,abs,2.0,random,65.18373847397277,0.13706604120864244,0.0018538278101150885
7,20,abs,2.0,sir,65.18373847397277,0.13706604120864244,0.0018538278101150885
7,20,cubic,0.0,sir1,6.1889481760259555,0.7737150652033482,
