# script: ch04_shengyin_2016_design.py
# seeds: 20260813
# replicates: accuracy block: 100 at n=100, 25 at n=500; scaling block: 5 at each p
# n_perturb: 500
# n_restarts: 5
# max_iter: 150
# scaling_block: model A part 1, n=500, p in {6, 20, 50, 100}
# methods: dCor-PP (this thesis), Sheng-Yin (SQP), SIR, OLS
# design_source: wu2021mm pp.12-13, restating Sheng & Yin (2016)
block,model,part,n,p,d,rep,method,angle,delta_m,dcor2_u,seconds
accuracy,A,1,100,6,2,39,SIR,32.7559,0.72239,0.155936,0.0
accuracy,A,1,100,6,2,39,OLS,6.2909,,0.2901,0.0
accuracy,A,1,100,6,2,40,dCor-PP (this thesis),6.7546,0.138839,0.347598,0.062
accuracy,A,1,100,6,2,40,Sheng-Yin (SQP),4.3672,0.109474,0.272441,0.069
accuracy,A,1,100,6,2,40,SIR,43.004,0.983024,0.229958,0.0
accuracy,A,1,100,6,2,40,OLS,7.4992,,0.436906,0.0
accuracy,A,1,100,6,2,41,dCor-PP (this thesis),17.8667,0.438192,0.26914,0.063
accuracy,A,1,100,6,2,41,Sheng-Yin (SQP),11.3008,0.237405,0.277734,0.078
accuracy,A,1,100,6,2,41,SIR,18.5476,0.47877,0.220554,0.0
accuracy,A,1,100,6,2,41,OLS,6.5325,,0.357274,0.0
accuracy,A,1,100,6,2,42,dCor-PP (this thesis),10.7614,0.229895,0.326834,0.065
accuracy,A,1,100,6,2,42,Sheng-Yin (SQP),8.4301,0.148442,0.302679,0.07
accuracy,A,1,100,6,2,42,SIR,30.1765,0.770632,0.246025,0.001
accuracy,A,1,100,6,2,42,OLS,14.0766,,0.3985,0.0
accuracy,A,1,100,6,2,43,dCor-PP (this thesis),10.0294,0.205132,0.292959,0.07
accuracy,A,1,100,6,2,43,Sheng-Yin (SQP),8.5678,0.171565,0.29168,0.066
accuracy,A,1,100,6,2,43,SIR,30.3112,0.78292,0.234253,0.001
accuracy,A,1,100,6,2,43,OLS,19.5674,,0.426948,0.0
accuracy,A,1,100,6,2,44,dCor-PP (this thesis),9.5432,0.194328,0.242105,0.06
accuracy,A,1,100,6,2,44,Sheng-Yin (SQP),6.4592,0.142094,0.234222,0.07
accuracy,A,1,100,6,2,44,SIR,46.0689,0.988772,0.133482,0.0
accuracy,A,1,100,6,2,44,OLS,12.7767,,0.255572,0.0
accuracy,A,1,100,6,2,45,dCor-PP (this thesis),6.5589,0.150358,0.431224,0.063
accuracy,A,1,100,6,2,45,Sheng-Yin (SQP),5.6053,0.104269,0.343879,0.078
accuracy,A,1,100,6,2,45,SIR,39.3812,0.948012,0.281878,0.001
accuracy,A,1,100,6,2,45,OLS,13.9572,,0.556827,0.0
accuracy,A,1,100,6,2,46,dCor-PP (this thesis),9.3773,0.24768,0.426167,0.066
accuracy,A,1,100,6,2,46,Sheng-Yin (SQP),5.5088,0.102339,0.331807,0.075
accuracy,A,1,100,6,2,46,SIR,44.1897,0.979012,0.268615,0.0
accuracy,A,1,100,6,2,46,OLS,11.0968,,0.529035,0.0
accuracy,A,1,100,6,2,47,dCor-PP (this thesis),10.131,0.227402,0.347578,0.069
accuracy,A,1,100,6,2,47,Sheng-Yin (SQP),6.3131,0.138034,0.318096,0.074
accuracy,A,1,100,6,2,47,SIR,41.2418,0.953458,0.264794,0.0
accuracy,A,1,100,6,2,47,OLS,6.094,,0.532027,0.0
accuracy,A,1,100,6,2,48,dCor-PP (this thesis),11.061,0.270675,0.376875,0.057
accuracy,A,1,100,6,2,48,Sheng-Yin (SQP),6.6087,0.185315,0.362649,0.072
accuracy,A,1,100,6,2,48,SIR,15.9495,0.433434,0.328216,0.0
accuracy,A,1,100,6,2,48,OLS,18.6989,,0.446137,0.0
