# script: ch03_gradient_check.py
# seeds: 42, 7, 123, 2024, 5, 2026, 17, 99, 777, 31337
index,seed,n,p,best_h,err_at_best_h,err_at_1e5
dVar,777,500,20,3.162277660168379e-06,1.1607025416163513e-10,3.4859022276551324e-05
dVar,31337,500,20,3.162277660168379e-07,1.0554128241872453e-09,0.0001360085243640517
dVar,42,500,50,3.162277660168379e-06,2.3548568793882123e-10,5.5899147137448684e-05
dVar,7,500,50,1e-06,7.584986773446265e-10,8.826178304065143e-05
dVar,123,500,50,3.162277660168379e-06,2.4822948099049987e-10,4.293342280905168e-05
dVar,2024,500,50,1e-06,7.694541118372166e-10,8.273537300156749e-05
dVar,5,500,50,3.162277660168379e-06,2.430791214046169e-10,4.557485910164413e-05
dVar,2026,500,50,1e-06,6.780897464164185e-10,6.833477768242933e-05
dVar,17,500,50,3.162277660168379e-06,1.9363658689690578e-10,1.5189546371738778e-05
dVar,99,500,50,1e-06,6.624282360151779e-10,6.719317048158629e-05
dVar,777,500,50,3.162277660168379e-06,2.505250354398793e-10,7.317569497071528e-05
dVar,31337,500,50,1e-07,7.2396264306062086e-09,0.00033811756298930484
